MonthlyDisposableIncomeGroup,LoanStatusGroup,Counts
100-1000,Good Loan,1640
100-1000,Bad Loan,170
1000-2000,Good Loan,7205
1000-2000,Bad Loan,805
2000-3000,Good Loan,15620
2000-3000,Bad Loan,1444
Less than 100,Good Loan,1740
Less than 100,Bad Loan,193
More than 3000,Good Loan,80627
More than 3000,Bad Loan,4476
